排名,学校名字,英文名字,省份,评分,办学层次
79,华南师范大学,South China Normal University,广东,South China Normal University,South China Normal University
80,江苏大学,Jiangsu University,江苏,Jiangsu University,Jiangsu University
81,福州大学,Fuzhou University,福建,Fuzhou University,Fuzhou University
82,扬州大学,Yangzhou University,江苏,Yangzhou University,Yangzhou University
83,合肥工业大学,Hefei University of Technology,安徽,Hefei University of Technology,Hefei University of Technology
84,北京林业大学,Beijing Forestry University,北京,Beijing Forestry University,Beijing Forestry University
85,南京邮电大学,Nanjing University of Posts and Telecommunications,江苏,Nanjing University of Posts and Telecommunications,Nanjing University of Posts and Telecommunications
86,湖南师范大学,Hunan Normal University,湖南,Hunan Normal University,Hunan Normal University
87,福建师范大学,Fujian Normal University,福建,Fujian Normal University,Fujian Normal University
88,浙江师范大学,Zhejiang Normal University,浙江,Zhejiang Normal University,Zhejiang Normal University
89,南京工业大学,Nanjing Tech University,江苏,Nanjing Tech University,Nanjing Tech University
90,广西大学,Guangxi University,广西,Guangxi University,Guangxi University
91,首都师范大学,Capital Normal University,北京,Capital Normal University,Capital Normal University
92,长安大学,Chang'an University,陕西,Chang'an University,Chang'an University
93,南京林业大学,Nanjing Forestry University,江苏,Nanjing Forestry University,Nanjing Forestry University
94,华南农业大学,South China Agricultural University,广东,South China Agricultural University,South China Agricultural University
95,安徽大学,Anhui University,安徽,Anhui University,Anhui University
95,贵州大学,Guizhou University,贵州,Guizhou University,Guizhou University
97,杭州电子科技大学,Hangzhou Dianzi University,浙江,Hangzhou Dianzi University,Hangzhou Dianzi University
98,广州大学,Guangzhou University,广东,Guangzhou University,Guangzhou University
99,河南大学,Henan University,河南,Henan University,Henan University
100,广东工业大学,Guangdong University of Technology,广东,Guangdong University of Technology,Guangdong University of Technology
101,山西大学,Shanxi University,山西,Shanxi University,Shanxi University
102,湘潭大学,Xiangtan University,湖南,Xiangtan University,Xiangtan University
103,南京信息工程大学,Nanjing University of Information Science & Technology,江苏,Nanjing University of Information Science & Technology,Nanjing University of Information Science & Technology
104,海南大学,Hainan University,海南,Hainan University,Hainan University
105,山东师范大学,Shandong Normal University,山东,Shandong Normal University,Shandong Normal University
105,浙江理工大学,Zhejiang Sci-Tech University,浙江,Zhejiang Sci-Tech University,Zhejiang Sci-Tech University
107,上海理工大学,University of Shanghai for Science and Technology,上海,University of Shanghai for Science and Technology,University of Shanghai for Science and Technology
108,太原理工大学,Taiyuan University of Technology,山西,Taiyuan University of Technology,Taiyuan University of Technology
109,河北工业大学,Hebei University of Technology,河北,Hebei University of Technology,Hebei University of Technology
110,青岛大学,Qingdao University,山东,Qingdao University,Qingdao University
111,大连海事大学,Dalian Maritime University,辽宁,Dalian Maritime University,Dalian Maritime University
112,燕山大学,Yanshan University,河北,Yanshan University,Yanshan University
113,东北林业大学,Northeast Forestry University,黑龙江,Northeast Forestry University,Northeast Forestry University
114,西安建筑科技大学,Xi'an University of Architecture and Technology,陕西,Xi'an University of Architecture and Technology,Xi'an University of Architecture and Technology
115,昆明理工大学,Kunming University of Science and Technology,云南,Kunming University of Science and Technology,Kunming University of Science and Technology
116,内蒙古大学,Inner Mongolia University,内蒙古,Inner Mongolia University,Inner Mongolia University
117,江西师范大学,Jiangxi Normal University,江西,Jiangxi Normal University,Jiangxi Normal University
118,西安理工大学,Xi'an University of Technology,陕西,Xi'an University of Technology,Xi'an University of Technology
119,上海师范大学,Shanghai Normal University,上海,Shanghai Normal University,Shanghai Normal University
120,杭州师范大学,Hangzhou Normal University,浙江,Hangzhou Normal University,Hangzhou Normal University
121,东北农业大学,Northeast Agricultural University,黑龙江,Northeast Agricultural University,Northeast Agricultural University
122,武汉科技大学,Wuhan University of Science and Technology,湖北,Wuhan University of Science and Technology,Wuhan University of Science and Technology
123,山东科技大学,Shandong University of Science and Technology,山东,Shandong University of Science and Technology,Shandong University of Science and Technology
124,陕西科技大学,Shaanxi University of Science and Technology,陕西,Shaanxi University of Science and Technology,Shaanxi University of Science and Technology
125,福建农林大学,Fujian Agriculture and Forestry University,福建,Fujian Agriculture and Forestry University,Fujian Agriculture and Forestry University
126,长沙理工大学,Changsha University of Science and Technology,湖南,Changsha University of Science and Technology,Changsha University of Science and Technology
126,河北大学,Hebei University,河北,Hebei University,Hebei University
128,宁夏大学,Ningxia University,宁夏,Ningxia University,Ningxia University
129,新疆大学,Xinjiang University,新疆,Xinjiang University,Xinjiang University
130,西南石油大学,Southwest Petroleum University,四川,Southwest Petroleum University,Southwest Petroleum University
131,辽宁大学,Liaoning University,辽宁,Liaoning University,Liaoning University
132,温州大学,Wenzhou University,浙江,Wenzhou University,Wenzhou University
133,湖北大学,Hubei University,湖北,Hubei University,Hubei University
134,四川农业大学,Sichuan Agricultural University,四川,Sichuan Agricultural University,Sichuan Agricultural University
135,长春理工大学,Changchun University of Science and Technology,吉林,Changchun University of Science and Technology,Changchun University of Science and Technology
136,石河子大学,Shihezi University,新疆,Shihezi University,Shihezi University
136,中国计量大学,China Jiliang University,浙江,China Jiliang University,China Jiliang University
138,天津工业大学,Tiangong University,天津,Tiangong University,Tiangong University
139,安徽师范大学,Anhui Normal University,安徽,Anhui Normal University,Anhui Normal University
139,江苏科技大学,Jiangsu University of Science and Technology,江苏,Jiangsu University of Science and Technology,Jiangsu University of Science and Technology
141,天津师范大学,Tianjin Normal University,天津,Tianjin Normal University,Tianjin Normal University
142,齐鲁工业大学,Qilu University of Technology,山东,Qilu University of Technology,Qilu University of Technology
143,江苏师范大学,Jiangsu Normal University,江苏,Jiangsu Normal University,Jiangsu Normal University
144,山东农业大学,Shandong Agricultural University,山东,Shandong Agricultural University,Shandong Agricultural University
145,上海海洋大学,Shanghai Ocean University,上海,Shanghai Ocean University,Shanghai Ocean University
146,湖北工业大学,Hubei University of Technology,湖北,Hubei University of Technology,Hubei University of Technology
147,浙江农林大学,Zhejiang A&F University,浙江,Zhejiang A&F University,Zhejiang A&F University
148,河南农业大学,Henan Agricultural University,河南,Henan Agricultural University,Henan Agricultural University
149,常州大学,Changzhou University,江苏,Changzhou University,Changzhou University
150,沈阳农业大学,Shenyang Agricultural University,辽宁,Shenyang Agricultural University,Shenyang Agricultural University
151,河南师范大学,Henan Normal University,河南,Henan Normal University,Henan Normal University
152,重庆邮电大学,Chongqing University of Posts and Telecommunications,重庆,Chongqing University of Posts and Telecommunications,Chongqing University of Posts and Telecommunications
153,安徽农业大学,Anhui Agricultural University,安徽,Anhui Agricultural University,Anhui Agricultural University
154,成都理工大学,Chengdu University of Technology,四川,Chengdu University of Technology,Chengdu University of Technology
155,广西师范大学,Guangxi Normal University,广西,Guangxi Normal University,Guangxi Normal University
156,黑龙江大学,Heilongjiang University,黑龙江,Heilongjiang University,Heilongjiang University
157,北京建筑大学,Beijing University of Civil Engineering and Architecture,北京,Beijing University of Civil Engineering and Architecture,Beijing University of Civil Engineering and Architecture
158,武汉工程大学,Wuhan Institute of Technology,湖北,Wuhan Institute of Technology,Wuhan Institute of Technology
159,南通大学,Nantong University,江苏,Nantong University,Nantong University
160,河北师范大学,Hebei Normal University,河北,Hebei Normal University,Hebei Normal University
161,天津科技大学,Tianjin University of Science and Technology,天津,Tianjin University of Science and Technology,Tianjin University of Science and Technology
162,青岛科技大学,Qingdao University of Science and Technology,山东,Qingdao University of Science and Technology,Qingdao University of Science and Technology
163,华侨大学,Huaqiao University,福建,Huaqiao University,Huaqiao University
164,河南科技大学,Henan University of Science and Technology,河南,Henan University of Science and Technology,Henan University of Science and Technology
165,延边大学,Yanbian University,吉林,Yanbian University,Yanbian University
166,汕头大学,Shantou University,广东,Shantou University,Shantou University
167,武汉纺织大学,Wuhan Textile University,湖北,Wuhan Textile University,Wuhan Textile University
168,江西理工大学,Jiangxi University of Science and Technology,江西,Jiangxi University of Science and Technology,Jiangxi University of Science and Technology
169,西安科技大学,Xi'an University of Science and Technology,陕西,Xi'an University of Science and Technology,Xi'an University of Science and Technology
170,集美大学,Jimei University,福建,Jimei University,Jimei University
171,西北师范大学,Northwest Normal University China,甘肃,Northwest Normal University China,Northwest Normal University China
172,湖南农业大学,Hunan Agricultural University,湖南,Hunan Agricultural University,Hunan Agricultural University
173,青海大学,Qinghai University,青海,Qinghai University,Qinghai University
174,辽宁师范大学,Liaoning Normal University,辽宁,Liaoning Normal University,Liaoning Normal University
175,上海海事大学,Shanghai Maritime University,上海,Shanghai Maritime University,Shanghai Maritime University
176,吉林农业大学,Jilin Agricultural University,吉林,Jilin Agricultural University,Jilin Agricultural University
177,曲阜师范大学,Qufu Normal University,山东,Qufu Normal University,Qufu Normal University
177,三峡大学,China Three Gorges University,湖北,China Three Gorges University,China Three Gorges University
179,华东交通大学,East China Jiaotong University,江西,East China Jiaotong University,East China Jiaotong University
179,济南大学,University of Jinan,山东,University of Jinan,University of Jinan
179,中北大学,North University of China,山西,North University of China,North University of China
182,南昌航空大学,Nanchang Hangkong University,江西,Nanchang Hangkong University,Nanchang Hangkong University
183,天津理工大学,Tianjin University of Technology,天津,Tianjin University of Technology,Tianjin University of Technology
184,湖南科技大学,Hunan University of Science and Technology,湖南,Hunan University of Science and Technology,Hunan University of Science and Technology
185,安徽工业大学,Anhui University of Technology,安徽,Anhui University of Technology,Anhui University of Technology
186,长江大学,Yangtze University,湖北,Yangtze University,Yangtze University
186,兰州理工大学,Lanzhou University of Technology,甘肃,Lanzhou University of Technology,Lanzhou University of Technology
188,重庆交通大学,Chongqing Jiaotong University,重庆,Chongqing Jiaotong University,Chongqing Jiaotong University
189,沈阳工业大学,Shenyang University of Technology,辽宁,Shenyang University of Technology,Shenyang University of Technology
190,烟台大学,Yantai University,山东,Yantai University,Yantai University
191,山东理工大学,Shandong University of Technology,山东,Shandong University of Technology,Shandong University of Technology
192,安徽理工大学,Anhui University of Science and Technology,安徽,Anhui University of Science and Technology,Anhui University of Science and Technology
192,西藏大学,Tibet University,西藏,Tibet University,Tibet University
194,上海电力大学,Shanghai University of Electric Power,上海,Shanghai University of Electric Power,Shanghai University of Electric Power
195,河北农业大学,Hebei Agricultural University,河北,Hebei Agricultural University,Hebei Agricultural University
196,北方工业大学,North China University of Technology,北京,North China University of Technology,North China University of Technology
196,西安邮电大学,Xi'an University of Posts and Telecommunications,陕西,Xi'an University of Posts and Telecommunications,Xi'an University of Posts and Telecommunications
198,北京电子科技学院,Beijing Electronic Science and Technology Institute,北京,Beijing Electronic Science and Technology Institute,Beijing Electronic Science and Technology Institute
199,四川师范大学,Sichuan Normal University,四川,Sichuan Normal University,Sichuan Normal University
200,云南师范大学,Yunnan Normal University,云南,Yunnan Normal University,Yunnan Normal University
201,南华大学,University of South China,湖南,University of South China,University of South China
202,江西农业大学,Jiangxi Agricultural University,江西,Jiangxi Agricultural University,Jiangxi Agricultural University
203,河南理工大学,Henan Polytechnic University,河南,Henan Polytechnic University,Henan Polytechnic University
204,苏州科技大学,Suzhou University of Science and Technology,江苏,Suzhou University of Science and Technology,Suzhou University of Science and Technology
205,内蒙古农业大学,Inner Mongolia Agricultural University,内蒙古,Inner Mongolia Agricultural University,Inner Mongolia Agricultural University
206,北京信息科技大学,Beijing Information Science & Technology University,北京,Beijing Information Science & Technology University,Beijing Information Science & Technology University
206,兰州交通大学,Lanzhou Jiaotong University,甘肃,Lanzhou Jiaotong University,Lanzhou Jiaotong University
208,河南工业大学,Henan University of Technology,河南,Henan University of Technology,Henan University of Technology
209,青岛理工大学,Qingdao University of Technology,山东,Qingdao University of Technology,Qingdao University of Technology
210,大连工业大学,Dalian Polytechnic University,辽宁,Dalian Polytechnic University,Dalian Polytechnic University
211,国际关系学院,University of International Relations,北京,University of International Relations,University of International Relations
211,沈阳航空航天大学,Shenyang Aerospace University,辽宁,Shenyang Aerospace University,Shenyang Aerospace University
213,沈阳建筑大学,Shenyang Jianzhu University,辽宁,Shenyang Jianzhu University,Shenyang Jianzhu University
214,重庆师范大学,Chongqing Normal University,重庆,Chongqing Normal University,Chongqing Normal University
215,青岛农业大学,Qingdao Agricultural University,山东,Qingdao Agricultural University,Qingdao Agricultural University
216,山西农业大学,Shanxi Agricultural University,山西,Shanxi Agricultural University,Shanxi Agricultural University
217,西安工业大学,Xi'an Technological University,陕西,Xi'an Technological University,Xi'an Technological University
218,湖州师范学院,Huzhou University,浙江,Huzhou University,Huzhou University
219,东北石油大学,Northeast Petroleum University,黑龙江,Northeast Petroleum University,Northeast Petroleum University
219,佛山大学,Foshan University,广东,Foshan University,Foshan University
219,嘉兴大学,Jiaxing University,浙江,Jiaxing University,Jiaxing University
222,浙江海洋大学,Zhejiang Ocean University,浙江,Zhejiang Ocean University,Zhejiang Ocean University
223,西南科技大学,Southwest University of Science and Technology,四川,Southwest University of Science and Technology,Southwest University of Science and Technology
224,海南师范大学,Hainan Normal University,海南,Hainan Normal University,Hainan Normal University
225,石家庄铁道大学,Shijiazhuang Tiedao University,河北,Shijiazhuang Tiedao University,Shijiazhuang Tiedao University
226,青海师范大学,Qinghai Normal University,青海,Qinghai Normal University,Qinghai Normal University
227,上海工程技术大学,Shanghai University of Engineering Science,上海,Shanghai University of Engineering Science,Shanghai University of Engineering Science
228,河北科技大学,Hebei University of Science and Technology,河北,Hebei University of Science and Technology,Hebei University of Science and Technology
229,中南林业科技大学,Central South University of Forestry & Technology,湖南,Central South University of Forestry & Technology,Central South University of Forestry & Technology
230,桂林电子科技大学,Guilin University of Electronic Technology,广西,Guilin University of Electronic Technology,Guilin University of Electronic Technology
231,哈尔滨理工大学,Harbin University of Science and Technology,黑龙江,Harbin University of Science and Technology,Harbin University of Science and Technology
232,成都大学,Chengdu University,四川,Chengdu University,Chengdu University
233,甘肃农业大学,Gansu Agricultural University,甘肃,Gansu Agricultural University,Gansu Agricultural University
234,东莞理工学院,Dongguan University of Technology,广东,Dongguan University of Technology,Dongguan University of Technology
235,鲁东大学,Ludong University,山东,Ludong University,Ludong University
236,浙江科技大学,Zhejiang University of Science & Technology,浙江,Zhejiang University of Science & Technology,Zhejiang University of Science & Technology
237,重庆理工大学,Chongqing University of Technology,重庆,Chongqing University of Technology,Chongqing University of Technology
238,内蒙古师范大学,Inner Mongolia Normal University,内蒙古,Inner Mongolia Normal University,Inner Mongolia Normal University
239,聊城大学,Liaocheng University,山东,Liaocheng University,Liaocheng University
239,沈阳化工大学,Shenyang University of Chemical Technology,辽宁,Shenyang University of Chemical Technology,Shenyang University of Chemical Technology
241,山东建筑大学,Shandong Jianzhu University,山东,Shandong Jianzhu University,Shandong Jianzhu University
242,东华理工大学,East China University of Technology,江西,East China University of Technology,East China University of Technology
243,哈尔滨师范大学,Harbin Normal University,黑龙江,Harbin Normal University,Harbin Normal University
243,武汉轻工大学,Wuhan Polytechnic University,湖北,Wuhan Polytechnic University,Wuhan Polytechnic University
245,赣南师范大学,GanNan Normal University,江西,GanNan Normal University,GanNan Normal University
246,长春工业大学,Changchun University of Technology,吉林,Changchun University of Technology,Changchun University of Technology
247,渤海大学,Bohai University,辽宁,Bohai University,Bohai University
248,华北水利水电大学,North China University of Water Resources and Electric Power,河南,North China University of Water Resources and Electric Power,North China University of Water Resources and Electric Power
249,上海应用技术大学,Shanghai Institute of Technology,上海,Shanghai Institute of Technology,Shanghai Institute of Technology
249,西安石油大学,Xi'an Shiyou University,陕西,Xi'an Shiyou University,Xi'an Shiyou University
251,山西师范大学,Shanxi Normal University,山西,Shanxi Normal University,Shanxi Normal University
252,郑州轻工业大学,Zhengzhou University of Light Industry,河南,Zhengzhou University of Light Industry,Zhengzhou University of Light Industry
253,东北电力大学,Northeast Electric Power University,吉林,Northeast Electric Power University,Northeast Electric Power University
254,贵州师范大学,Guizhou Normal University,贵州,Guizhou Normal University,Guizhou Normal University
255,大连大学,Dalian University,辽宁,Dalian University,Dalian University
256,辽宁石油化工大学,Liaoning shihua University,辽宁,Liaoning shihua University,Liaoning shihua University
257,西华师范大学,China West Normal University,四川,China West Normal University,China West Normal University
258,北京农学院,Beijing University of Agriculture,北京,Beijing University of Agriculture,Beijing University of Agriculture
259,南京工程学院,Nanjing Institute of Technology,江苏,Nanjing Institute of Technology,Nanjing Institute of Technology
260,安徽工程大学,Anhui Polytechnic University,安徽,Anhui Polytechnic University,Anhui Polytechnic University
261,浙大城市学院,Zhejiang University City College,浙江,Zhejiang University City College,Zhejiang University City College
262,沈阳师范大学,Shenyang Normal University,辽宁,Shenyang Normal University,Shenyang Normal University
263,大连交通大学,Dalian Jiaotong University,辽宁,Dalian Jiaotong University,Dalian Jiaotong University
264,成都信息工程大学,Chengdu University of Information Technology,四川,Chengdu University of Information Technology,Chengdu University of Information Technology
265,上海海关学院,Shanghai Customs College,上海,Shanghai Customs College,Shanghai Customs College
266,西安工程大学,Xi'an Polytechnic University,陕西,Xi'an Polytechnic University,Xi'an Polytechnic University
267,桂林理工大学,Guilin University of Technology,广西,Guilin University of Technology,Guilin University of Technology
267,江汉大学,Jianghan University,湖北,Jianghan University,Jianghan University
269,沈阳理工大学,Shenyang Ligong University,辽宁,Shenyang Ligong University,Shenyang Ligong University
270,安徽建筑大学,Anhui jianzhu University,安徽,Anhui jianzhu University,Anhui jianzhu University
271,湖南工业大学,Hunan University of Technology,湖南,Hunan University of Technology,Hunan University of Technology
272,绍兴文理学院,Shaoxing University,浙江,Shaoxing University,Shaoxing University
273,厦门理工学院,Xiamen University of Technology,福建,Xiamen University of Technology,Xiamen University of Technology
274,辽宁工程技术大学,Liaoning Technical University,辽宁,Liaoning Technical University,Liaoning Technical University
